Radiotherapy,Gender,Marital status,Race,Pathologic grade,Histologic type,T staging,N staging,Chemotherapy,RNE,CEA,Tumor size (cm),HR Total
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Negative,≤5cm,1.0
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Negative,>5cm,1.091
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Negative,NOS,1.23
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Positive,≤5cm,1.478
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Positive,>5cm,1.612498
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,Positive,NOS,1.81794
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,NOS,≤5cm,1.271
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,NOS,>5cm,1.386661
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,<12,NOS,NOS,1.5633299999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Negative,≤5cm,0.705
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Negative,>5cm,0.7691549999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Negative,NOS,0.86715
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Positive,≤5cm,1.04199
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Positive,>5cm,1.13681109
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,Positive,NOS,1.2816477
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,NOS,≤5cm,0.8960549999999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,NOS,>5cm,0.9775960049999999
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,≥12,NOS,NOS,1.1021476499999998
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Negative,≤5cm,1.483
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Negative,>5cm,1.617953
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Negative,NOS,1.82409
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Positive,≤5cm,2.1918740000000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Positive,>5cm,2.3913345340000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,Positive,NOS,2.6960050200000003
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,NOS,≤5cm,1.884893
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,NOS,>5cm,2.056418263
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,No,NOS,NOS,NOS,2.3184183899999997
Non-RT,Female,Married,White,Grade I/II,Adenocarcinomas,T1-2,N0,Yes,<12,Negative,≤5cm,0.764
